Rank,Company,Valuation (Billion USD),Country,Sector,Industry,,,,,,
1,Tencent Holdings Ltd,441.2,China,Communication Services,Internet Content & Information,,,,,,
2,Kweichow Moutai Co. Ltd,348.2,China,Consumer Staples,Beverages—Wineries & Distilleries,,,,,,
3,Alibaba Group Holding Limited,290.4,China,Consumer Discretionary,Internet Retail,,,,,,
4,Industrial & Commercial Bank of China Ltd,250.4,China,Financials,Banks,,,,,,
5,China Construction Bank Corp,189.4,China,Financials,Banks,,,,,,
6,China Merchants Bank Co Ltd,186.0,China,Financials,Banks,,,,,,
7,Contemporary Amperex Technology Co. Ltd,185.7,China,Industrials,Electrical Equipment & Parts,,,,,,
8,Agricultural Bank of China Ltd,165.0,China,Financials,Banks,,,,,,
9,PetroChina Company Limited,144.5,China,Energy,Oil & Gas Integrated,,,,,,
10,Bank of China Ltd,141.2,China,Financials,Banks,,,,,,
1,Apple Inc.,2825.0,United States,Technology,Consumer Electronics,,,,,,
2,Microsoft Corporation,2328.0,United States,Technology,Software—Infrastructure,,,,,,
3,Alphabet Inc.,1825.0,United States,Communication Services,Internet Content & Information,,,,,,
4,"Amazon.com, Inc.",1642.0,United States,Consumer Discretionary,Internet Retail,,,,            ,,
5,"Tesla, Inc.",1016.0,United States,Consumer Discretionary,Auto Manufacturers,,,,,,
6,Berkshire Hathaway Inc.,798.5,United States,Financials,Financial Conglomerates,,,,,,
7,Nvidia Corporation,670.4,United States,Technology,Semiconductors,,,,,,
8,"Meta Platforms, Inc.",717.5,United States,Communication Services,Internet Content & Information,,,,,,
9,UnitedHealth Group Incorporated,488.5,United States,Healthcare,Healthcare Plans,,,,,,
10,Visa Inc.,486.8,United States,Financials,Credit Services,,,,,,
1,SAP SE,134.2,Germany,Technology,Software—Application,,,,,,
2,Siemens AG,114.7,Germany,Industrials,Specialty Industrial Machinery,,,,,,
3,Volkswagen AG,18.6,Germany,Consumer Discretionary,Auto Manufacturers,,,,,,
4,Daimler AG,98.8,Germany,Consumer Discretionary,Auto Manufacturers,,,,,,
5,Allianz SE,98.5,Germany,Financials,Insurance—Diversified,,,,,,
6,Deutsche Telekom AG,93.0,Germany,Communication Services,Telecom Services,,,,,,
7,MERCK Kommanditgesellschaft auf Aktien,90.7,Germany,Healthcare,Drug Manufacturers—Specialty & Generic,,,,,,
8,Siemens Healthineers AG,71.5,Germany,Healthcare,Diagnostics & Research,,,,,,
9,Bayer AG,68.1,Germany,Healthcare,Drug Manufacturers—General,,,,,,
10,Hapag-Lloyd AG,61.5,Germany,Industrials,Marine Shipping,,,,,,
1,Sony Group Corporation,126.6,Japan,Technology,Consumer Electronics,,,,,,
2,Keyence Corp,113.2,Japan,Technology,Scientific & Technical Instruments,,,,,,
3,Nippon Telegraph & Telephone Corp,103.8,Japan,Communication Services,Telecom Services,,,,,,
4,"Mitsubishi UFJ Financial Group, Inc.",85.0,Japan,Financials,Banks,,,,,,
5,Tokyo Electron Ltd,79.6,Japan,Technology,Semiconductor Equipment & Materials,,,,,,
6,KDDI Corp,73.1,Japan,Communication Services,Telecom Services,,,,,,
7,Recruit Holdings Co Ltd,68.1,Japan,Industrials,Staffing & Employment Services,,,,,,
8,Oriental Land Co. Ltd,64.7,Japan,Consumer Discretionary,Leisure,,,,,,
9,Shin-Etsu Chemical Co Ltd,63.4,Japan,Basic Materials,Chemicals,,,,,,
10,Nintendo Co Ltd,62.2,Japan,Communication Services,Electronic Gaming & Multimedia,,,,,,
1,Shell plc,207.7,United Kingdom,Energy,Oil & Gas Integrated,,,,,,
2,AstraZeneca plc,201.8,United Kingdom,Healthcare,Drug Manufacturers—General,,,,,,
3,Linde plc,166.1,United Kingdom,Basic Materials,Specialty Chemicals,,,,,,
4,HSBC Holdings plc,140.2,United Kingdom,Financials,Banks,,,,,,
5,Rio Tinto Group,125.8,United Kingdom,Basic Materials,Other Industrial Metals & Mining,,,,,,
6,Unilever plc,117.8,United Kingdom,Consumer Staples,Household & Personal Products,,,,,,
7,Diageo plc,115.6,United Kingdom,Consumer Staples,Beverages—Wineries & Distilleries,,,,,,
8,GlaxoSmithKline plc,110.0,United Kingdom,Healthcare,Drug Manufacturers—General,,,,,,
9,British American Tobacco plc,101.4,United Kingdom,Consumer Staples,Tobacco,,,,,,
10,BP plc,106.2,United Kingdom,Energy,Oil & Gas Integrated,,,,,,
1,Apple Inc.,2825.0,World,Technology,Consumer Electronics,,,,,,
2,Microsoft Corporation,2328.0,World,Technology,Software—Infrastructure,,,,,,
3,Saudi Arabian Oil Company,2297.0,World,Energy,Oil & Gas Integrated,,,,,,
4,Alphabet Inc.,1825.0,World,Communication Services,Internet Content & Information,,,,,,
5,"Amazon.com, Inc.",1642.0,World,Consumer Discretionary,Internet Retail,,,,,,
6,"Tesla, Inc.",1016.0,World,Consumer Discretionary,Auto Manufacturers,,,,,,
7,Berkshire Hathaway Inc.,798.5,World,Financials,Financial Conglomerates,,,,,,
8,Nvidia Corporation,660.4,World,Technology,Semiconductors,,,,,,
9,"Meta Platforms, Inc.",617.5,World,Communication Services,Internet Content & Information,,,,,,
10,Taiwan Semiconductor Manufacturing Company Limited,527.8,World,Technology,Semiconductors,,,,,,
,,,,,,,,,,,
