Country Name,Country Code,GDP (billion USD),PPP (USD)
Aruba,ABW,2.496648045,23384.30
Africa Eastern and Southern,AFE,1082.095609,1557.72
Afghanistan,AFG,20.11613733,516.75
Africa Western and Central,AFW,835.8083959,1774.92
Angola,AGO,72.54698571,2137.91
Albania,ALB,18.2600435,6494.39
Andorra,AND,3.329910724,43047.69
Arab World,ARB,2850.421035,6412.39
United Arab Emirates,ARE,358.8687652,36284.56
Argentina,ARG,491.4927007,10729.23
Armenia,ARM,13.86118387,4670.01
American Samoa,ASM,0.709,12844.90
Antigua and Barbuda,ATG,1.471125926,14900.80
Australia,AUS,1542.6599,59934.13
Austria,AUT,477.0824675,53267.93
Azerbaijan,AZE,54.62217647,5384.03
Burundi,BDI,2.902029386,236.80
Belgium,BEL,599.8790254,51767.79
Benin,BEN,17.78564008,1428.45
Burkina Faso,BFA,19.73761511,918.15
Bangladesh,BGD,416.2649429,2503.04
Bulgaria,BGR,80.27111943,11634.97
Bahrain,BHR,38.86866303,22232.33
"Bahamas, The",BHS,11.2086,28239.37
Bosnia and Herzegovina,BIH,22.57151287,6916.44
Belarus,BLR,68.21881648,7303.70
Belize,BLZ,1.789923264,4420.49
Bermuda,BMU,7.0809,110869.46
Bolivia,BOL,40.40820852,3414.89
Brazil,BRA,1608.981221,7518.83
Barbados,BRB,4.9008,17033.94
Brunei Darussalam,BRN,14.00656958,31722.66
Bhutan,BTN,2.315436303,3000.78
Botswana,BWA,17.61384647,7347.55
Central African Republic,CAF,2.516498299,511.48
Canada,CAN,1990.76161,52051.35
Central Europe and the Baltics,CEB,1887.902464,18568.99
Switzerland,CHE,812.8669289,93457.44
Channel Islands,CHI,11.51525863,74463.02
Chile,CHL,317.0585087,16502.84
China,CHN,17734.06265,12556.33
Cote d'Ivoire,CIV,69.76482747,2578.76
Cameroon,CMR,45.23861348,1661.70
"Congo, Dem. Rep.",COD,53.95857369,584.11
"Congo, Rep.",COG,12.52396168,2213.88
Colombia,COL,314.3224532,6131.23
Comoros,COM,1.327964249,1494.69
Cabo Verde,CPV,1.936174043,3445.76
Costa Rica,CRI,64.28243867,12508.62
Caribbean small states,CSS,69.97032314,9352.28
Cuba,CUB,107.352,9477.85
Curacao,CUW,2.496174736,16109.86
Cayman Islands,CYM,5.608989196,85346.76
Cyprus,CYP,27.71933767,30798.48
Czech Republic,CZE,282.3408499,26378.50
Germany,DEU,4223.116206,50801.79
Djibouti,DJI,3.371102124,3363.71
Dominica,DMA,0.545618519,7559.98
Denmark,DNK,397.1043435,67803.05
Dominican Republic,DOM,94.24345394,8603.79
Algeria,DZA,167.9831417,3765.03
East Asia & Pacific (excluding high income),EAP,20746.56372,9776.49
Early-demographic dividend,EAR,12618.11961,3739.96
East Asia & Pacific,EAS,30880.83204,13037.46
Europe & Central Asia (excluding high income),ECA,3499.151502,8708.06
Europe & Central Asia,ECS,25046.91274,27114.28
Ecuador,ECU,106.165866,5934.88
"Egypt, Arab Rep.",EGY,404.1427661,3876.36
Euro area,EMU,14493.2124,42307.73
Eritrea,ERI,2.065001626,642.51
Spain,ESP,1425.276586,30115.71
Estonia,EST,36.26292435,27280.66
Ethiopia,ETH,111.2711123,943.97
European Union,EUU,17088.62074,38234.13
Fragile and conflict affected situations,FCS,1795.312624,1826.40
Finland,FIN,299.1552376,53982.61
Fiji,FJI,4.59211871,5085.97
France,FRA,2937.472758,43518.54
Faroe Islands,FRO,3.240759989,66320.68
"Micronesia, Fed. Sts.",FSM,0.40417805,3476.65
Gabon,GAB,18.26935043,8016.99
United Kingdom,GBR,3186.859739,47334.36
Georgia,GEO,18.70024139,5042.39
Ghana,GHA,77.59427905,2445.29
Gibraltar,GIB,0,0.00
Guinea,GIN,15.85052038,1174.35
"Gambia, The",GMB,2.078070684,835.59
Guinea-Bissau,GNB,1.638517533,812.96
Equatorial Guinea,GNQ,12.26939279,8462.29
